Class,Class_Count,Predicted_Count,Correct_Count,Accuracy
Afghan_hound,21,28,14,0.6666666666666666
African_hunting_dog,12,9,8,0.6666666666666666
Airedale,21,10,6,0.2857142857142857
American_Staffordshire_terrier,16,34,5,0.3125
Appenzeller,13,25,5,0.38461538461538464
Australian_terrier,17,15,9,0.5294117647058824
Bedlington_terrier,11,15,8,0.7272727272727273
Bernese_mountain_dog,28,19,12,0.42857142857142855
Blenheim_spaniel,24,24,18,0.75
Border_collie,11,15,6,0.5454545454545454
Border_terrier,16,23,9,0.5625
Boston_bull,19,22,13,0.6842105263157895
Bouvier_des_Flandres,20,13,6,0.3
Brabancon_griffon,13,7,5,0.38461538461538464
Brittany_spaniel,21,20,13,0.6190476190476191
Cardigan,18,13,6,0.3333333333333333
Chesapeake_Bay_retriever,13,28,9,0.6923076923076923
Chihuahua,18,13,3,0.16666666666666666
Dandie_Dinmont,12,8,5,0.4166666666666667
Doberman,10,11,2,0.2
English_foxhound,21,4,2,0.09523809523809523
English_setter,19,36,9,0.47368421052631576
English_springer,21,29,16,0.7619047619047619
EntleBucher,17,20,9,0.5294117647058824
Eskimo_dog,16,7,0,0.0
French_bulldog,17,22,10,0.5882352941176471
German_shepherd,12,12,4,0.3333333333333333
German_short-haired_pointer,23,17,9,0.391304347826087
Gordon_setter,21,17,10,0.47619047619047616
Great_Dane,16,4,2,0.125
Great_Pyrenees,20,13,6,0.3
Greater_Swiss_Mountain_dog,15,28,8,0.5333333333333333
Ibizan_hound,19,22,9,0.47368421052631576
Irish_setter,20,27,15,0.75
Irish_terrier,16,14,8,0.5
Irish_water_spaniel,13,21,8,0.6153846153846154
Irish_wolfhound,24,36,16,0.6666666666666666
Italian_greyhound,20,10,5,0.25
Japanese_spaniel,12,18,12,1.0
Kerry_blue_terrier,15,11,7,0.4666666666666667
Labrador_retriever,12,17,3,0.25
Lakeland_terrier,21,14,10,0.47619047619047616
Leonberg,15,18,11,0.7333333333333333
Lhasa,19,15,7,0.3684210526315789
Maltese_dog,28,25,15,0.5357142857142857
Mexican_hairless,22,18,12,0.5454545454545454
Newfoundland,17,17,6,0.35294117647058826
Norfolk_terrier,20,11,6,0.3
Norwegian_elkhound,19,9,8,0.42105263157894735
Norwich_terrier,22,17,9,0.4090909090909091
Old_English_sheepdog,23,16,12,0.5217391304347826
Pekinese,14,17,4,0.2857142857142857
Pembroke,16,13,8,0.5
Pomeranian,17,19,11,0.6470588235294118
Rhodesian_ridgeback,14,21,6,0.42857142857142855
Rottweiler,20,6,3,0.15
Saint_Bernard,16,12,11,0.6875
Saluki,19,27,7,0.3684210526315789
Samoyed,26,42,18,0.6923076923076923
Scotch_terrier,18,5,3,0.16666666666666666
Scottish_deerhound,24,26,13,0.5416666666666666
Sealyham_terrier,21,15,10,0.47619047619047616
Shetland_sheepdog,18,16,11,0.6111111111111112
Shih-Tzu,18,16,7,0.3888888888888889
Siberian_husky,15,32,5,0.3333333333333333
Staffordshire_bullterrier,9,8,3,0.3333333333333333
Sussex_spaniel,18,12,12,0.6666666666666666
Tibetan_mastiff,16,13,9,0.5625
Tibetan_terrier,24,31,12,0.5
Walker_hound,10,24,7,0.7
Weimaraner,21,27,16,0.7619047619047619
Welsh_springer_spaniel,19,17,11,0.5789473684210527
West_Highland_white_terrier,22,16,13,0.5909090909090909
Yorkshire_terrier,15,9,4,0.26666666666666666
affenpinscher,17,14,8,0.47058823529411764
basenji,18,17,13,0.7222222222222222
basset,22,32,14,0.6363636363636364
beagle,17,27,8,0.47058823529411764
black-and-tan_coonhound,15,29,10,0.6666666666666666
bloodhound,18,18,10,0.5555555555555556
bluetick,17,22,9,0.5294117647058824
borzoi,13,6,4,0.3076923076923077
boxer,16,12,4,0.25
briard,8,13,1,0.125
bull_mastiff,18,9,5,0.2777777777777778
cairn,23,14,7,0.30434782608695654
chow,20,13,8,0.4
clumber,18,15,11,0.6111111111111112
cocker_spaniel,9,7,1,0.1111111111111111
collie,15,10,4,0.26666666666666666
curly-coated_retriever,17,22,8,0.47058823529411764
dhole,14,14,10,0.7142857142857143
dingo,17,35,7,0.4117647058823529
flat-coated_retriever,13,18,3,0.23076923076923078
giant_schnauzer,21,7,4,0.19047619047619047
golden_retriever,14,14,6,0.42857142857142855
groenendael,19,21,10,0.5263157894736842
keeshond,22,25,17,0.7727272727272727
kelpie,14,13,4,0.2857142857142857
komondor,15,6,6,0.4
kuvasz,13,15,8,0.6153846153846154
malamute,16,36,10,0.625
malinois,20,6,4,0.2
miniature_pinscher,14,15,7,0.5
miniature_poodle,15,3,2,0.13333333333333333
miniature_schnauzer,16,7,6,0.375
otterhound,10,16,5,0.5
papillon,25,17,13,0.52
pug,19,22,8,0.42105263157894735
redbone,12,35,8,0.6666666666666666
schipperke,14,6,5,0.35714285714285715
silky_terrier,14,28,7,0.5
soft-coated_wheaten_terrier,15,6,3,0.2
standard_poodle,19,4,2,0.10526315789473684
standard_schnauzer,12,17,4,0.3333333333333333
toy_poodle,11,12,3,0.2727272727272727
toy_terrier,21,24,9,0.42857142857142855
vizsla,17,14,10,0.5882352941176471
whippet,14,10,3,0.21428571428571427
wire-haired_fox_terrier,12,11,9,0.75
